Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_ankle_roll_link,0.0298256266559766,6.51135200202546E-08,-0.0322592152687466,0,0,0,1.33912671571889,0.000601912403193443,-9.82857114748159E-09,-9.52772393276571E-06,0.00435229320915341,-1.25268333426509E-09,0.00487576266166189,0,0,0,0,0,0,package://ATOM02/meshes/right_ankle_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ATOM02/meshes/right_ankle_roll_link.STL,,RB000036_脚底固定三号-3;脚底塑料-2,axisc,polec,right_ankle_roll_joint,revolute,0.000288640584765455,0,-0.0189686150614563,0,0,0,right_ankle_pitch_link,1,0,0,140,12,0,0,,,,,,,,
torso_roll_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://ATOM02/meshes/torso_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://ATOM02/meshes/torso_roll_link.STL,,PA81-18-25-9;RB000042_腰部一号-2,axisd&e,poled,torso_roll_joint,revolute,0.043914999999919,0.00149999982510596,0.0582569795349133,0,0,0,base_link,-1,0,0,140,12,0,0,,,,,,,,
torso_yaw_link,0.00399050743843777,6.70363075697678E-05,0.223190244062931,0,0,0,0.905363139813927,0.00822642022946719,-1.6191173943688E-06,-7.9916203078537E-05,0.00354591213040369,-5.19825654039179E-06,0.00596383132405531,0,0,0,0,0,0,package://ATOM02/meshes/torso_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/torso_yaw_link.STL,,胸腔-前-1;胸腔-后-2-1;脖子二号-1;脖子一号-1;运控头完整-1;电池盒-1/电池壳子盖-3,axisd&e,polee,torso_yaw_joint,revolute,0,0,0,0,0,0,torso_roll_link,0,0,1,140,12,0,0,,,,,,,,
left_shoulder_pitch_link,0.00572283416827034,0.133486264130114,0.00569460380518322,0,0,0,0.281602434591795,0.000412006547613336,-1.07288385707546E-06,-3.03710919984189E-07,0.000182373831409038,4.94990634799294E-06,0.000281147944048875,0,0,0,0,0,0,package://ATOM02/meshes/left_shoulder_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/left_shoulder_pitch_link.STL,,大臂肩部-组合（内）-2;大臂肩部-组合（内）-2-2,axisf&14,polef,left_shoulder_pitch_joint,revolute,-0.00531236834996837,0,0.257475047221614,0,0,0,torso_yaw_link,0,0.999048221581858,0.0436193873653277,30,12,0,0,,,,,,,,
left_shoulder_roll_link,0.00952001146745127,0.00560131858747742,-0.0306561060367536,0,0,0,0.294057859644599,0.000390032105174833,-2.66618039094026E-06,1.50348658021525E-05,0.000304469239672062,-2.38150666516615E-05,0.00018383870032529,0,0,0,0,0,0,package://ATOM02/meshes/left_shoulder_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/left_shoulder_roll_link.STL,,大臂肩部-组合（外）-1;大臂肩部-组合（外）-2.2-1,axis10,pole10,left_shoulder_roll_joint,revolute,0,0.157727108635355,0.0064438018083768,0,0,0,left_shoulder_pitch_link,1,0,0,30,12,0,0,,,,,,,,
left_shoulder_yaw_link,0.000183998490163938,-0.00664702098894654,-0.159902602188587,0,0,0,0.570014294886847,0.00149682899623023,3.92892164831408E-06,-3.06798300426846E-05,0.00167749778136823,-8.23735773828494E-06,0.000272369677137707,0,0,0,0,0,0,package://ATOM02/meshes/left_shoulder_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/left_shoulder_yaw_link.STL,,手臂-上臂-内-1;手臂-上臂-内-2-1,axis11,pole11,left_shoulder_yaw_joint,revolute,0,0.00647177026748297,0.000725276071402214,0,0,0,left_shoulder_roll_link,0,0,-0.999999999981986,30,12,0,0,,,,,,,,
left_elbow_pitch_link,0.0444173770841133,-0.0083983002628778,-0.0104099602928093,0,0,0,0.361375425050572,0.000213574714148864,2.35420432033347E-05,-4.37560859762815E-05,0.000607968507095197,-9.69493449550969E-06,0.000513128904322646,0,0,0,0,0,0,package://ATOM02/meshes/left_elbow_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/left_elbow_pitch_link.STL,,小臂-肘部-外 (2.3.1）-1;小臂-肘部-外 (2.3.1）-2-1,axis12,pole12&17,left_elbow_pitch_joint,revolute,0.00950066749573248,0.000428960666849831,-0.230024901410875,0,0,0,left_shoulder_yaw_link,0,1,0,140,30,0,0,,,,,,,,
left_elbow_yaw_link,0.227394242045541,-0.00540734423351369,0.00547955819471335,0,0,0,1.41761671859828,0.000662617896691103,-0.000107635270955381,5.17111487502552E-05,0.00127994618498875,-5.04582284517391E-05,0.00115432102467012,0,0,0,0,0,0,package://ATOM02/meshes/left_elbow_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/left_elbow_yaw_link.STL,,小臂-肘部-外 (2.3下）-6;小臂-肘部-外 (2.3下）-2-6;造型手-1,axis13,pole13,left_elbow_yaw_link,revolute,0,0,-0.0133504827638016,0,0,0,left_elbow_pitch_link,1,0,0,0,30,0,0,,,,,,,,
right_shoulder_pitch_link,-0.00567538717138532,-0.133486276497267,0.00569432899053771,0,0,0,0.281602420918166,0.000412006544253427,-1.07288233081776E-06,3.03709981096843E-07,0.000182373828204855,-4.94990583578057E-06,0.000281147940789026,0,0,0,0,0,0,package://ATOM02/meshes/right_shoulder_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/right_shoulder_pitch_link.STL,,大臂肩部-组合（内）-1;大臂肩部-组合（内）-2-1,axisf&14,pole14,right_shoulder_pitch_joint,revolute,-0.00531236834996837,0,0.257475047221614,0,0,0,torso_yaw_link,0,-0.999048221581858,0.0436193873653299,30,12,0,0,,,,,,,,
right_shoulder_roll_link,-0.00952140798561743,-0.00560123236864984,-0.0306561043273919,0,0,0,0.294057899511326,0.000390032147212152,-2.66618980350727E-06,-1.50348566378366E-05,0.000304469261607127,2.38150618379082E-05,0.000183838723976618,0,0,0,0,0,0,package://ATOM02/meshes/right_shoulder_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/right_shoulder_roll_link.STL,,大臂肩部-组合（外）-3;大臂肩部-组合（外）-2.2-3,axis15,pole15,right_shoulder_roll_joint,revolute,0,-0.157731572169751,0.00634362168986959,0,0,0,right_shoulder_pitch_link,1,0,0,30,12,0,0,,,,,,,,
right_shoulder_yaw_link,0.000184500652539638,-0.00664702098052161,-0.160002971035617,0,0,0,0.570014294602155,0.00149682825932246,3.92902054373044E-06,-3.06945292322289E-05,0.00167749778106804,-8.23731054290377E-06,0.00027237041374027,0,0,0,0,0,0,package://ATOM02/meshes/right_shoulder_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/right_shoulder_yaw_link.STL,,手臂-上臂-内-2;手臂-上臂-内-2-2,axis16,pole16,right_shoulder_yaw_link,revolute,0,-0.00647168056291525,0.000825647150946768,0,0,0,right_shoulder_roll_link,0,0,-0.999999999981986,30,12,0,0,,,,,,,,
right_elbow_pitch_link,0.0444195121887475,-0.00839829362329991,-0.0105100533330512,0,0,0,0.361375020829954,0.000213574435266451,2.35419895901183E-05,-4.37562568457589E-05,0.000607968138695093,-9.69501646389791E-06,0.000513128745828094,0,0,0,0,0,0,package://ATOM02/meshes/right_elbow_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/right_elbow_pitch_link.STL,,小臂-肘部-外 (2.3.1）-2;小臂-肘部-外 (2.3.1）-2-2,axis17,pole12&17,right_elbow_pitch_joint,revolute,0.00949985837207234,-0.000428960670245448,-0.230025092371912,0,0,0,right_shoulder_yaw_link,0,1,0,30,12,0,0,,,,,,,,
right_elbow_yaw_link,0.227397964445097,0.00372300928214719,0.00537944992731798,0,0,0,1.41764942980355,0.000662628361277761,0.000109088640638669,5.17056231400068E-05,0.00128001486131448,5.05793199532545E-05,0.00115438526790841,0,0,0,0,0,0,package://ATOM02/meshes/right_elbow_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ATOM02/meshes/right_elbow_yaw_link.STL,,小臂-肘部-外 (2.3下）-5;小臂-肘部-外 (2.3下）-2-5;造型手Mirrored-6,axis18,pole18,right_elbow_yaw_joint,revolute,0,0,-0.0133504827638016,0,0,0,right_elbow_pitch_link,1,0,0,30,12,0,0,,,,,,,,
